EmpID,Term,DateofHire,Salary,DeptID,PositionID,ManagerID,SpecialProjectsCount
10026,No,2011-07-05,62506,5,19,22,0
10084,Yes,2015-03-30,104437,3,27,4,6
10196,Yes,2011-07-05,64955,5,20,20,0
10088,No,2008-01-07,64991,5,19,16,0
10069,Yes,2011-07-11,50825,5,19,39,0
10002,No,2012-01-09,57568,5,19,11,0
10194,No,2014-11-10,95660,4,24,10,4
10062,No,2013-09-30,59365,5,19,19,0
10114,No,2009-07-06,47837,5,19,12,0
10250,No,2015-01-05,50178,3,14,7,6
10252,Yes,2011-01-10,54670,5,19,14,0
10242,Yes,2012-04-02,47211,5,19,20,0
10012,No,2014-11-10,92328,3,9,4,5
10265,No,2012-02-20,58709,5,19,18,0
10066,Yes,2012-09-24,52505,5,19,22,0
10061,Yes,2011-02-21,57834,5,19,18,0
10023,No,2016-07-21,70131,5,20,18,0
10055,No,2011-04-04,59026,5,19,16,0
10245,Yes,2014-07-07,110000,3,8,4,5
10277,No,2013-07-08,53250,5,19,39,0
10046,No,2012-04-02,51044,5,19,11,0
10226,No,2013-08-19,64919,5,19,19,0
10003,No,2014-07-07,62910,5,19,12,0
10294,No,2011-04-04,66441,5,20,22,0
10267,Yes,2011-01-10,57815,5,20,16,0
10199,Yes,2014-02-17,103613,3,30,4,7
10081,No,2015-02-16,106367,1,26,3,3
10175,Yes,2013-09-30,74312,5,18,2,0
10177,Yes,2012-04-02,53492,5,19,14,0
10238,No,2008-10-27,63000,1,1,1,6
10184,No,2014-09-29,65288,5,20,39,0
10203,No,2013-11-11,64375,5,19,20,0
10188,Yes,2011-08-15,74326,6,3,17,0
10107,No,2012-03-05,63763,5,20,11,0
10181,No,2011-04-04,62162,5,20,19,0
10150,No,2011-08-15,77692,4,25,5,5
10001,No,2016-01-28,72640,5,18,2,0
10085,No,2013-11-11,93396,4,24,10,6
10115,No,2014-03-31,52846,5,19,18,0
10082,No,2016-06-30,100031,3,27,4,6
10040,No,2014-08-18,71860,6,3,17,0
10067,No,2014-09-29,61656,5,19,22,0
10108,No,2016-09-06,110929,3,5,5,7
10210,No,2014-05-12,54237,5,19,16,0
10154,No,2013-07-08,60380,5,19,39,0
10200,No,2012-05-14,66808,6,3,21,0
10240,Yes,2011-06-27,64786,5,19,11,0
10168,No,2011-10-03,64816,5,19,19,0
10220,No,2012-09-05,68678,3,14,6,6
10275,Yes,2011-05-16,64066,5,20,12,0
10269,Yes,2010-08-30,59369,5,20,14,0
10029,No,2016-07-06,50373,5,19,12,0
10261,No,2013-07-08,63108,5,19,14,0
10292,Yes,2011-07-11,59144,5,19,20,0
10282,No,2010-07-20,68051,5,18,2,0
10019,No,2009-01-05,170500,5,10,2,0
10094,No,2015-01-05,63381,5,19,18,0
10193,No,2015-03-30,83552,3,9,4,6
10132,No,2016-07-06,56149,5,19,22,0
10083,No,2014-11-10,92329,3,28,7,4
10099,No,2014-05-05,65729,6,21,15,0
10212,No,2014-11-10,85028,3,28,7,8
10056,No,2012-07-02,57583,5,19,16,0
10143,No,2011-11-07,56294,5,20,20,0
10311,No,2018-07-09,56991,5,19,12,3
10070,Yes,2011-05-16,55722,5,19,39,0
10155,No,2012-01-09,101199,4,24,10,5
10306,No,2014-09-29,61568,6,3,17,0
10100,Yes,2011-04-04,58275,5,20,18,0
10310,No,2014-07-07,53189,5,19,11,0
10197,No,2017-02-15,96820,3,4,13,7
10276,No,2014-05-12,51259,5,19,19,0
10304,No,2012-02-20,59231,6,3,17,0
10284,No,2013-01-07,61584,5,19,12,0
10207,No,2012-04-02,46335,5,19,14,0
10133,No,2015-01-05,70621,3,14,7,6
10028,No,2014-01-05,138888,3,13,5,5
10006,No,2011-01-10,74241,6,3,21,0
10105,No,2014-09-18,75188,5,18,2,0
10211,No,2010-04-26,62514,5,19,19,0
10064,Yes,2011-04-04,60070,5,19,20,0
10247,No,2014-11-10,48888,5,19,18,0
10235,No,2014-03-31,54285,5,19,18,0
10299,No,2014-07-07,56847,5,20,22,0
10280,Yes,2012-04-02,60340,5,19,22,0
10296,Yes,2014-02-17,59124,5,19,16,0
10290,Yes,2011-05-02,99280,4,24,10,4
10263,No,2014-07-07,71776,5,20,16,0
10136,No,2014-02-17,65902,5,20,39,0
10189,Yes,2011-11-07,57748,5,19,39,0
10308,No,2015-05-11,64057,5,19,11,0
10309,No,2015-03-30,53366,3,15,7,6
10049,No,2012-01-09,58530,5,19,12,0
10093,Yes,2011-05-16,72609,5,20,11,0
10163,Yes,2011-04-04,55965,5,20,19,0
10305,Yes,2014-09-29,70187,6,3,21,0
10015,No,2011-04-15,178000,3,12,5,5
10080,No,2009-01-05,99351,1,26,9,2
10258,No,2011-09-06,67251,6,3,21,0
10273,No,2010-05-01,65707,3,14,6,5
10111,No,2015-03-30,52249,5,19,14,0
10257,No,2011-05-16,53171,5,19,18,0
10159,No,2015-03-30,51337,5,19,22,0
10122,Yes,2011-11-07,51505,5,19,16,0
10142,Yes,2014-07-07,59370,6,3,17,0
10283,Yes,2012-04-02,54933,5,19,39,0
10018,No,2014-09-29,57815,5,19,11,0
10255,No,2015-02-16,61555,6,3,21,0
10246,Yes,2015-02-16,114800,3,8,4,4
10228,No,2015-03-30,74679,3,14,7,7
10243,No,2013-11-11,53018,5,19,19,0
10031,No,2011-07-11,59892,5,19,12,0
10300,Yes,2010-04-26,68898,5,20,12,0
10101,No,2015-01-05,61242,3,14,7,5
10237,No,2014-05-12,66825,5,20,14,0
10051,No,2012-07-02,48285,5,19,14,0
10218,No,2013-09-30,66149,5,20,20,0
10256,No,2013-08-19,49256,5,19,20,0
10098,No,2015-06-02,62957,5,18,2,0
10059,Yes,2011-02-21,63813,5,19,18,0
10234,No,2017-04-20,99020,3,4,13,5
10109,Yes,2012-03-07,71707,6,3,17,0
10125,No,2011-11-28,54828,5,19,22,0
10074,No,2013-11-11,64246,5,20,18,0
10097,Yes,2012-01-09,52177,5,19,39,0
10007,No,2014-05-12,62065,5,19,11,0
10129,No,2012-08-13,46998,5,19,19,0
10075,Yes,2011-01-10,68099,5,20,18,0
10167,No,2014-08-18,70545,6,3,17,0
10195,Yes,2011-08-15,63478,5,20,30,0
10112,No,2015-03-30,97999,3,8,4,6
10272,No,2014-05-05,180000,6,11,2,0
10182,Yes,2015-02-16,49920,1,2,1,4
10248,No,2012-02-20,55425,5,19,19,0
10201,No,2016-06-06,69340,5,20,16,0
10214,No,2015-06-05,64995,5,20,39,0
10160,Yes,2011-02-21,68182,5,20,11,0
10289,Yes,2011-02-21,83082,5,18,2,0
10139,No,2013-08-19,51908,5,19,12,0
10227,No,2012-11-05,61242,5,19,14,0
10236,No,2013-09-30,45069,5,19,20,0
10009,No,2011-07-05,60724,5,20,19,0
10060,No,2014-01-06,60436,5,19,18,0
10034,Yes,2011-11-07,46837,5,19,22,0
10156,No,2015-01-05,105700,3,8,4,5
10036,No,2014-07-07,63322,5,20,12,0
10138,Yes,2011-01-10,61154,5,19,16,0
10244,Yes,2011-11-07,68999,6,21,15,0
10192,No,2013-09-30,50482,5,19,22,0
10231,No,2013-08-19,65310,6,3,21,0
10089,No,2012-07-02,250000,2,16,9,0
10166,Yes,2011-09-26,54005,5,19,39,0
10170,Yes,2011-09-26,45433,5,19,11,0
10208,No,2014-02-17,46654,5,19,19,0
10176,No,2011-01-10,63973,5,19,12,0
10165,No,2011-03-07,71339,6,3,17,0
10113,No,2014-11-10,93206,3,28,7,6
10092,Yes,2011-01-10,82758,5,18,2,0
10106,Yes,2013-01-07,66074,5,20,14,0
10052,No,2012-07-09,46120,5,19,14,0
10038,No,2014-01-06,64520,1,1,1,4
10249,Yes,2012-04-02,61962,5,20,20,0
10232,No,2016-10-02,81584,3,22,13,7
10087,Yes,2011-09-26,63676,5,19,20,0
10134,No,2016-01-05,93046,1,23,2,0
10251,No,2012-05-14,64738,5,19,16,0
10103,No,2012-04-30,70468,6,3,17,0
10017,No,2013-09-30,77915,5,18,2,0
10186,Yes,2011-07-05,52624,5,19,22,0
10137,No,2013-07-08,63450,5,20,18,0
10008,No,2011-01-21,51777,3,14,6,5
10096,Yes,2013-07-08,67237,5,20,22,0
10035,No,2013-08-19,73330,5,20,16,0
10057,No,2015-02-16,52057,5,19,16,0
10004,Yes,2011-11-07,47434,5,19,39,0
10191,Yes,2012-09-24,52788,5,19,11,0
10219,No,2014-01-06,45395,5,19,19,0
10077,No,2016-05-11,62385,5,20,39,0
10073,Yes,2011-07-05,68407,5,20,11,0
10279,No,2013-11-11,61349,5,19,12,0
10110,No,2013-11-11,105688,4,24,10,4
10053,No,2011-05-31,54132,5,19,14,0
10076,No,2015-03-30,55315,5,20,19,0
10145,No,2013-01-07,62810,5,19,20,0
10202,No,2016-07-06,63291,6,3,21,0
10128,Yes,2012-04-02,62659,5,19,18,0
10068,No,2015-03-30,55688,5,19,22,0
10116,No,2012-08-16,83667,5,18,2,0
10298,Yes,2011-08-15,55800,5,20,12,0
10213,No,2011-11-07,58207,5,20,14,0
10288,No,2012-02-15,157000,3,13,5,6
10025,No,2013-05-13,72460,5,20,20,0
10223,No,2012-01-09,72106,5,20,18,0
10151,No,2015-02-16,52599,3,15,7,6
10254,No,2013-04-01,63430,5,19,16,0
10120,No,2013-05-13,74417,5,20,22,0
10216,No,2013-07-08,57575,5,19,20,0
10079,No,2017-02-10,87921,3,22,13,6
10215,Yes,2011-09-26,50470,5,19,39,0
10185,Yes,2013-04-01,46664,5,19,11,0
10063,No,2014-05-12,48495,5,19,19,0
10037,No,2013-04-01,52984,5,19,12,0
10042,No,2013-07-08,63695,6,3,21,0
10206,No,2013-07-08,62061,5,19,14,0
10104,No,2014-11-10,66738,5,20,16,0
10303,Yes,2014-03-31,52674,5,19,20,0
10078,Yes,2012-05-14,71966,5,20,39,0
10121,No,2013-09-30,63051,6,3,21,0
10021,No,2013-09-30,47414,5,19,18,0
10281,No,2014-02-17,53060,5,19,22,0
10041,No,2015-01-05,68829,6,3,17,0
10148,Yes,2011-02-07,63515,5,19,16,0
10005,Yes,2011-11-07,108987,4,24,10,3
10259,Yes,2014-12-01,93093,3,9,4,5
10286,Yes,2011-01-10,53564,5,19,39,0
10297,Yes,2011-07-05,60270,5,20,11,0
10171,Yes,2011-05-16,45998,5,19,11,0
10032,Yes,2011-05-16,57954,5,20,19,0
10130,Yes,2010-10-25,74669,5,18,2,0
10217,No,2012-04-02,74226,5,20,12,0
10016,No,2014-11-10,93554,3,9,4,7
10050,Yes,2011-07-05,64724,5,19,12,0
10164,No,2007-11-05,47001,5,19,14,0
10124,No,2012-01-09,61844,6,3,21,0
10187,Yes,2011-05-16,46799,5,19,20,0
10225,No,2014-01-06,59472,5,19,18,0
10262,Yes,2012-09-24,46430,5,19,20,0
10131,Yes,2011-02-21,83363,1,23,2,0
10239,No,2016-10-02,95920,3,4,13,6
10152,Yes,2011-09-26,61729,5,19,22,0
10140,No,2014-05-12,61809,6,3,17,0
10058,Yes,2011-05-16,45115,5,19,16,0
10011,No,2011-11-28,46738,5,19,39,0
10230,Yes,2011-09-26,64971,5,20,14,0
10224,Yes,2011-07-05,55578,5,20,20,0
10047,Yes,2011-01-10,50428,5,19,11,0
10285,Yes,2011-01-10,61422,5,19,19,0
10020,No,2013-07-08,63353,5,19,12,0
10162,No,2015-02-16,89883,3,9,4,6
10149,Yes,2015-01-05,120000,3,29,4,7
10086,No,2017-01-07,150290,3,7,13,5
10054,No,2014-01-06,60627,5,19,14,0
10065,Yes,2011-04-04,53180,5,19,20,0
10198,No,2013-01-20,140920,3,13,5,7
10222,Yes,2012-01-09,148999,3,13,5,6
10126,No,2012-11-05,86214,4,24,10,6
10295,No,2016-07-04,47750,5,19,18,0
10260,Yes,2009-01-05,46428,5,19,22,0
10233,No,2010-08-30,57975,5,20,18,0
10229,Yes,2015-01-05,88527,3,9,4,5
10169,No,2014-09-29,56147,5,19,16,0
10071,No,2013-09-30,50923,5,19,39,0
10179,No,2014-09-30,50750,3,15,7,6
10091,No,2013-08-19,52087,5,19,11,0
10178,No,2015-01-05,87826,3,9,4,7
10039,No,2015-05-01,51920,1,2,1,5
10095,Yes,2009-10-26,63878,5,20,22,0
10027,No,2014-09-29,60656,5,20,16,0
10291,No,2014-05-18,72992,6,21,15,0
10153,Yes,2011-09-26,55000,1,2,1,4
10157,No,2013-11-11,58939,5,19,19,0
10119,No,2011-06-10,66593,3,14,6,5
10180,No,2016-06-30,87565,3,28,7,5
10302,No,2012-02-20,64021,5,19,12,1
10090,No,2012-10-02,65714,5,18,2,0
10030,Yes,2013-05-13,62425,5,19,14,0
10278,No,2011-01-10,47961,5,19,20,0
10307,No,2014-05-12,58273,6,3,21,0
10147,No,2014-09-29,63003,1,1,1,5
10266,No,2014-02-17,61355,5,19,18,0
10241,No,2010-09-27,60120,6,3,17,0
10158,No,2009-01-08,63682,5,18,2,0
10117,No,2015-01-05,63025,5,19,22,0
10209,No,2012-05-14,59238,5,19,16,0
10024,No,2014-07-07,92989,4,24,10,5
10173,No,2017-04-20,90100,3,4,13,6
10221,Yes,2009-04-27,60754,5,19,39,0
10146,Yes,2011-05-16,72202,5,20,16,0
10161,No,2014-09-29,58370,6,3,21,0
10141,Yes,2011-07-05,48413,5,19,11,0
10268,Yes,2007-06-25,67176,5,20,39,0
10123,No,2013-02-18,56339,5,19,12,0
10013,No,2006-01-09,64397,6,3,21,0
10287,No,2014-02-17,63025,5,19,14,0
10044,Yes,2015-01-05,75281,3,15,7,5
10102,Yes,2013-02-18,100416,4,24,10,4
10270,Yes,2011-01-10,74813,5,20,11,0
10045,No,2015-03-30,76029,3,15,7,7
10205,No,2011-07-05,57859,6,3,17,0
10014,Yes,2012-08-13,58523,5,19,20,0
10144,No,2011-08-01,88976,5,17,2,0
10253,No,2012-03-05,55875,6,3,17,0
10118,Yes,2015-02-16,113999,3,8,4,7
10022,Yes,2011-09-26,49773,5,19,18,0
10183,No,2015-07-05,62068,5,19,22,0
10190,No,2014-08-18,66541,5,20,19,0
10274,Yes,2011-09-26,80512,5,18,2,0
10293,Yes,2012-08-13,50274,5,19,16,0
10172,No,2017-02-15,84903,3,22,13,7
10127,No,2015-03-30,107226,3,28,7,8
10072,Yes,2011-01-10,58371,5,19,39,0
10048,Yes,2011-05-16,55140,5,19,11,0
10204,Yes,2011-01-10,58062,5,19,19,0
10264,Yes,2012-01-09,59728,5,19,19,0
10033,Yes,2013-01-07,70507,5,20,12,0
10174,No,2014-09-29,60446,5,20,14,0
10135,No,2014-07-07,65893,5,20,20,0
10301,Yes,2008-09-02,48513,5,19,12,0
10010,No,2010-04-10,220450,3,6,2,6
10043,No,2015-03-30,89292,3,9,4,5
10271,No,2014-09-29,45046,5,19,14,0
